"address","TotalProfitLoss","TotalSignalledTokens","TotalUnsignalledTokens","date_utc","date_time_utc"
"0xf412716874ddcd23d81e2d94048e48c0ad965522",13247.0151799418,39000,23111.3763660152,2021-07-21,"2021-07-21 02:01:27"
"0xd550e166c1eb28433142482e95e6b0b5ec32d7dc",12971.8134756146,189000,89618.0323634899,2021-07-21,"2021-07-21 02:01:27"
"0x8008c94e68ca09d63e29f84b8ea827af0623ba2e",11996.9382268456,13490.3484131648,25487.2866400103,2021-07-21,"2021-07-21 02:01:27"
"0xb1d8b4aead0b6f1dcbc9533d4513b1c5df58c92a",11000.6058656125,10372.3617469216,7294.3292469216,2021-07-21,"2021-07-21 02:01:27"
"0xf6c0366cc3454c259b2d4864fa6bb3874e2590a5",10469.7868816853,119500,0,2021-07-21,"2021-07-21 02:01:27"
"0x25a981d1fdefcde326dd0f868795b290c88430fa",7956.35181497217,163368.14165566,171324.493470632,2021-07-21,"2021-07-21 02:01:27"
"0xf4d6635a15f79d00700db4d8a40cc7baa655563d",7015.44651465932,9359.92666920243,7718.96693437673,2021-07-21,"2021-07-21 02:01:27"
"0x2e1ddf517bc7b35cfd92ac6a426df07296b4fcb5",6639.48135919378,22276,28915.4813591938,2021-07-21,"2021-07-21 02:01:27"
"0x5061b7e724ed62d56c86f69205b2530dce7a0d85",6149.33453563236,13455.8982424855,9662.43132032054,2021-07-21,"2021-07-21 02:01:27"
"0x76340a7c034195c61a04ca70c26fa40c53562925",6106.06713220984,94010,30173.8817632041,2021-07-21,"2021-07-21 02:01:27"
"0x66485d1643dd7a8eae2d6ea204e7f6264a1f4c35",6037.51660184343,27176.9103691644,0,2021-07-21,"2021-07-21 02:01:27"
"0xf0fbfdcc322893f9d6e9c661ece8ac8e953c8a07",5359.24464737036,30000,0,2021-07-21,"2021-07-21 02:01:27"
"0xa93732731df985d1a8bbd9ddfeca88f80ae4d4f5",5162.72293763199,3606.18866727435,8373.73162495678,2021-07-21,"2021-07-21 02:01:27"
"0x521cbe4d915138e3c49156841c14ca4c8fe10805",5140.21674349232,3500,8640.21674349232,2021-07-21,"2021-07-21 02:01:27"
"0x52087f3d54f6a63b776593fc8352f75547072815",5033.09682849612,1000,6033.09682849612,2021-07-21,"2021-07-21 02:01:27"
"0xfc7eec01e54c8ef105845f78a304261c8dc988ac",4735.81011576362,25000,0,2021-07-21,"2021-07-21 02:01:27"
"0x72727d612cd162c30f84b579662a9bde34481ae7",4721.67380705464,68500,17159.8386212217,2021-07-21,"2021-07-21 02:01:27"
"0xdfbe2a3f1a1aa42f6bdadc0de1f9bdf9cd0cf8c8",4588.25097683138,9018.33,0,2021-07-21,"2021-07-21 02:01:27"
"0x80ed58c5a0c4d16ac36d7cb9c12739d95597ef2f",4077.1967441666,3500,5186.52822079871,2021-07-21,"2021-07-21 02:01:27"
"0xd53a09059e46ae357e02a803f89a807a82381ca1",4029.93217904788,12035.3800759037,2668.6958015779,2021-07-21,"2021-07-21 02:01:27"
"0x870e0fc44b871c673c69f597dc7b962a2e2cf90e",3384.302405676,10500,9812.41987523644,2021-07-21,"2021-07-21 02:01:27"
"0xdab5c5a4efa0d0e19e58a37e901a94977eebd5e2",2997.9066740812,7999.99999969477,10997.906673776,2021-07-21,"2021-07-21 02:01:27"
"0xceb1fa6234e5a9bbb0923d188a71ddd48e3b4296",2423.57363079274,14620.8064347387,1768.14782113049,2021-07-21,"2021-07-21 02:01:27"
"0xbfb5c354f091d200c75e43bf24562858d3af4b39",2149.58565096319,52000,50131.015977143,2021-07-21,"2021-07-21 02:01:27"
"0x5cb088a44e6ca584387b794ef87ea9ef336cdc42",2042.4610413692,28936.99635,30979.4573913692,2021-07-21,"2021-07-21 02:01:27"
"0xe8d848debb3a3e12aa815b15900c8e020b863f31",1955.46365269253,19821.6956074374,0,2021-07-21,"2021-07-21 02:01:27"
"0x994d6ea5a9ccb836d1354947d4697ed3157e48fd",1742.08489066679,2165,1670.19909940046,2021-07-21,"2021-07-21 02:01:27"
"0x7498925710cc941c96f4be558677ad9b297eda94",1705.807738712,2300,4005.807738712,2021-07-21,"2021-07-21 02:01:27"
"0x8f7cae3e51bd832ee0e2cdb73de4723010acff5c",1421.01273477284,5990.42517624644,0,2021-07-21,"2021-07-21 02:01:27"
"0x301137fea55e26fcd10c493a212a30f21d2ed432",1358.21756590753,11121.2468899502,1121.18318954907,2021-07-21,"2021-07-21 02:01:27"
"0x26728c8a86f9e2b440fef8339ab12c70eafa4456",1323.47399821817,10500,0,2021-07-21,"2021-07-21 02:01:27"
"0xb7ce368a08d06b54352c2bef09dea0cdc066b2a1",1317.12181247633,12128,5494.77812639144,2021-07-21,"2021-07-21 02:01:27"
"0x6e831379fae5af708f6dd6bc38c7d6eef83fdda1",1257.00188238919,1043.72606761181,0,2021-07-21,"2021-07-21 02:01:27"
"0x87b3ed7b4c2c85f35c79fa4ae3937e5594cef67b",1172.41508410281,5018.32258065,6190.73766475281,2021-07-21,"2021-07-21 02:01:27"
"0x9dd87184d2b4945437c2671a277cab687bd8ab47",1152.7406005967,9180,4151.36867120774,2021-07-21,"2021-07-21 02:01:27"
"0x309dec25b8b3996adc80ec9ecdeb17a47a173130",1138.48304095563,200,1336.88457289761,2021-07-21,"2021-07-21 02:01:27"
"0x147676a5e327080386bcc227e103a73dd2979049",1084.77355571347,685,0,2021-07-21,"2021-07-21 02:01:27"
"0x7449eb9cf8c9fece5f05105233b4df614a301dab",1043.12000014638,4851.66625,0,2021-07-21,"2021-07-21 02:01:27"
"0x3986bcd2e1fa3b7e371763961c5c885d44a8e3a6",948.677684846455,18000,7821.99459377808,2021-07-21,"2021-07-21 02:01:27"
"0x335fbfe1c7b72e3e3237402b843a7668bce39d16",888.773744013012,2024.39052728872,964.390527288725,2021-07-21,"2021-07-21 02:01:27"
"0x32a5bbe726c7b2e8746e5a508a08870f0ad3d1f2",824.995077210237,4166.66625,0,2021-07-21,"2021-07-21 02:01:27"
"0x8d5d013b906cee14d5cb0a4e930f1fdc4d7c124a",820.025578416627,3800,0,2021-07-21,"2021-07-21 02:01:27"
"0xf9c45b6e9a9c2d58dedc192f3eee627dde5d9a3f",817.046116319914,685,0,2021-07-21,"2021-07-21 02:01:27"
"0x695cabcf448ab75176a8c78bcad9fb815ee86b6c",806.717366644466,12500,13306.7173666445,2021-07-21,"2021-07-21 02:01:27"
"0xa1d3f6bf7de7f968789e2c9f3cfddd49cb01a30c",772.888325148762,685,0,2021-07-21,"2021-07-21 02:01:27"
"0x15ec25036ad7ff4243c6d90b027f7425d26cc5a1",772.275658691779,8333.33,0,2021-07-21,"2021-07-21 02:01:27"
"0xd1feef91e79d3dbdf75c47caaaf04f8f22cb840f",771.848428897319,20252.0381808477,11098.1813756583,2021-07-21,"2021-07-21 02:01:27"
"0xd4e0180b9a0b0c8c963472f0c9ff02a6fbffa398",680.225347162682,2000,0,2021-07-21,"2021-07-21 02:01:27"
"0x296897c5b419c2217719dc699d244e595d675d07",657.573262969311,3685,4342.57326296931,2021-07-21,"2021-07-21 02:01:27"
"0x038db6c62d0f072616e2b8db7d3d7cfc829f7f65",628.556353500073,6419.36642258506,0,2021-07-21,"2021-07-21 02:01:27"
"0x5b795fd28a8f48150ec5646d23fdc5046f470970",607.291044994305,3328.20608270944,2643.20608270944,2021-07-21,"2021-07-21 02:01:27"
"0x570cf51ac81d5871d7fa72fe1f02eb71670dacfa",607.198388501648,5000,5161.48872785382,2021-07-21,"2021-07-21 02:01:27"
"0xce2f6f6a51f725049d7d56ab11c09a096360398a",553.722830501546,5790,273.901732571631,2021-07-21,"2021-07-21 02:01:27"
"0xba85e7b5fc623014ccd394bbca960b1d8455faee",459.224576271167,1236.23925531907,1695.46383159024,2021-07-21,"2021-07-21 02:01:27"
"0x4c86279e0248665c93ece5d8bdb721f69e04b8fa",449.886894254052,2232.22326677311,2682.11016102716,2021-07-21,"2021-07-21 02:01:27"
"0xd87b0dc908aaf42120d582afcb736fe2aca536fc",429.364234978526,15000,10955.4214102216,2021-07-21,"2021-07-21 02:01:27"
"0x6bf7550bf182b8428e2cf4fc640ed884ff8c7a57",425.21907155385,23722.5760266481,17607.630773578,2021-07-21,"2021-07-21 02:01:27"
"0xbc79c7139c87df965f0f4c24747f326d1864c5af",421.492020463652,2696.13857167003,3117.63059213368,2021-07-21,"2021-07-21 02:01:27"
"0xf8375068f5ddab07033bf5410e1fcf6ef70955a0",412.168315224419,922.609143637757,1334.77745886218,2021-07-21,"2021-07-21 02:01:27"
"0xb2b8252f1ae45ebd6b60942eecf2cb3a92c0be34",387.294763448264,1449.106863267,1296.63666988395,2021-07-21,"2021-07-21 02:01:27"
"0x93f3f612a525a59523e91cc5552f718df9fc0746",371.87076002441,2000,0,2021-07-21,"2021-07-21 02:01:27"
"0x306e558167a3397889a2beb6ce918c6b8be5b3dc",369.257317127153,5400,0,2021-07-21,"2021-07-21 02:01:27"
"0x49c233d25768e462f0474390f653baf40dd592b2",362.719748190942,7685.94902986628,0,2021-07-21,"2021-07-21 02:01:27"
"0xe75df0466ffab0cb39679840b852615b203c1429",357.412405929073,426.11358998,0,2021-07-21,"2021-07-21 02:01:27"
"0xb4bb3a1360ae65ca773c3d755cc53f298ee5d9ac",290.525473392387,5977.94754592507,2598.31010238488,2021-07-21,"2021-07-21 02:01:27"
"0x2e465ddca6d2c6c81ce6f260ab13148d43e93371",268.395298674214,8300,2195.80529077239,2021-07-21,"2021-07-21 02:01:27"
"0x068cb87542736b049872b4ef9ed7ac9d07f31b41",212.8439432658,685,897.8439432658,2021-07-21,"2021-07-21 02:01:27"
"0xb8ca929e2bd96548cabcabc56cfc9a5147cef0ff",203.002342017417,2000,2203.00234201742,2021-07-21,"2021-07-21 02:01:27"
"0x72032019bd540009eeb082ba3870ecafe443874a",182.448410908491,685,0,2021-07-21,"2021-07-21 02:01:27"
"0x321341d64192e3040424f7f5c16beae44042e004",145.734467468146,10000,10145.7344674681,2021-07-21,"2021-07-21 02:01:27"
"0x534a9ac3d3401f80800375680bded6a84137d296",142.4666890596,11300,3607.5,2021-07-21,"2021-07-21 02:01:27"
"0x01ab07010c2f4bf5971537669cc19d5d8cf320a0",114.877076601867,685,0,2021-07-21,"2021-07-21 02:01:27"
"0x507ae40c169b9433561a1189a8e4637784cba109",111.982204161844,1376.59295011025,0,2021-07-21,"2021-07-21 02:01:27"
"0x68c3494bad6011033d10745144b51890861422e9",94.5068051033919,661.703193030142,76.7031930301424,2021-07-21,"2021-07-21 02:01:27"
"0x95af59e1e27c07362dd85de7430dc4e81736ffe6",93.9309842375373,990.271176273489,318.240028854734,2021-07-21,"2021-07-21 02:01:27"
"0xcaa3a3c852442f06806170d137248bb21ddb0e1b",78.7798713296738,2087.45961129898,0,2021-07-21,"2021-07-21 02:01:27"
"0xe266ede9308372d493d679830bdb8ed3dbd19b86",77.4301670935164,1301.65578151851,1379.08594861203,2021-07-21,"2021-07-21 02:01:27"
"0x76f577261f01c7c4dc6dabab11b3970809395eda",76.8996150393326,2000,0,2021-07-21,"2021-07-21 02:01:27"
"0xdfe7cac7dfcadf23eeb7749d0abae4b2e5e211ba",76.6059056699921,1000,0,2021-07-21,"2021-07-21 02:01:27"
"0x13880821e1d2453e77bcce113700765c65a0df90",74.6432030087526,30646.4480463098,23671.3316019797,2021-07-21,"2021-07-21 02:01:27"
"0x2c38a9121f8cd711d9b763a91e056351f284acda",74.3141821880682,300,128.498941385163,2021-07-21,"2021-07-21 02:01:27"
"0x57ef6458d77b5813ef722c050de66fe12439783c",66.8359477921251,228.54,0,2021-07-21,"2021-07-21 02:01:27"
"0x7d11d9ad9d6abfc154d3b0b135cc5776d8134a65",64.7142803611269,22845.8887860475,20303.6877412954,2021-07-21,"2021-07-21 02:01:27"
"0xb9c779e67e1a2f7b42eb5b6edb333b7a50858773",57.7617632763428,100,0,2021-07-21,"2021-07-21 02:01:27"
"0x86ac56096b71e676570dfe116d5fc576dfdcc386",56.8122716399859,60.6681694983342,0,2021-07-21,"2021-07-21 02:01:27"
"0xca85c97e49d1022cf095adeba300662dc590e13a",45.0226069603498,1603.42028899881,842.702624080385,2021-07-21,"2021-07-21 02:01:27"
"0xbc0e3a344a28ad0ac07e5838af6ecfe8b026e1e1",41.8872654263185,685,0,2021-07-21,"2021-07-21 02:01:27"
"0x57c687f80390112ce4f341bcf5a6feffb319cf2b",39.5224999222141,1276.84863358376,737.915217583763,2021-07-21,"2021-07-21 02:01:27"
"0x0354845b1a7ceac8a2343edb66303cef5211c5cd",38.1152509562007,4998.21497026119,3336.38497026119,2021-07-21,"2021-07-21 02:01:27"
"0x7df6f61d0ea21989bc139f52d4aa5d0b6f191d15",32.156990479886,2129.57909182726,793.153822107264,2021-07-21,"2021-07-21 02:01:27"
"0xba74a8f28d08d9a1e92c0eb4424e3c7ed3f17e78",29.0496335071401,100,0,2021-07-21,"2021-07-21 02:01:27"
"0x21123f596e5b7b7afdb27da07ddd3a190fa098ca",27.2790077982673,2494.51829232868,2521.79730012695,2021-07-21,"2021-07-21 02:01:27"
"0xc12a438792f968a934f97caba8dae2d6e5cd8f3c",26.2500473562275,200,226.250047356228,2021-07-21,"2021-07-21 02:01:27"
"0xfd898eb4e23b72651aebb19d40bc22fae658ba40",21.7007659709934,3000,3021.70076597099,2021-07-21,"2021-07-21 02:01:27"
"0x47e37cbad0862efa99aa1c078187d248e5d2dd0e",20.713618951459,1982.23,0,2021-07-21,"2021-07-21 02:01:27"
"0x4766d4bf4339a3677da10184b4228e5711b75cf1",20.2977516945895,1506.60785921836,1500.65611882015,2021-07-21,"2021-07-21 02:01:27"
"0x0bcf236552fa88c15cafacc927dacd684aac34cf",17.599340430071,625.48,0,2021-07-21,"2021-07-21 02:01:27"
"0x7dc8597db730f40cb75487578317f2dbc659e6d2",11.229831327268,500,511.229831327268,2021-07-21,"2021-07-21 02:01:27"
"0xc0220349d63349162ef27a9c68cff0e8f8a5fa46",10.7901580128589,99,0,2021-07-21,"2021-07-21 02:01:27"
"0xb25f4d199e510b6da75fc8acf44efc8f793baa8f",8.09126410448364,83.090143854639,0,2021-07-21,"2021-07-21 02:01:27"
"0xd4f05432358668c2b2716fdcf011d9020b08035c",7.20143955659482,100,0,2021-07-21,"2021-07-21 02:01:27"
"0xb7bec8f03876854545e03619100c160cc140754a",6.4725395795048,600,606.472539579505,2021-07-21,"2021-07-21 02:01:27"
"0x25c54bc2fa1e05e20ad8b720a2488eee91fafa5f",5.48086611126053,980,0,2021-07-21,"2021-07-21 02:01:27"
"0xb4ed960387e67f5354e29ea2dbc31e1ad2de8ff0",1.46267662892514,10,0,2021-07-21,"2021-07-21 02:01:27"
"0x30eba9b8a2a504902b5145effae09cb273ce8ef7",-0.279414201785401,5,0,2021-07-21,"2021-07-21 02:01:27"
"0x21f7db7daa3f03100eb6ad36f79e20972a79e6c0",-0.419621482088395,60,0,2021-07-21,"2021-07-21 02:01:27"
"0x45233ff6bbc10f0eb41f430561ac97d78ddfb4cd",-0.578840579409899,80,0,2021-07-21,"2021-07-21 02:01:27"
"0x45727f79a030a0cdd5c588f7670215e6f9378530",-0.667723447864546,316,0,2021-07-21,"2021-07-21 02:01:27"
"0x27dfa6ba1dd770a675791c528d0346885cee982f",-1.20479964897388,50,0,2021-07-21,"2021-07-21 02:01:27"
"0x0a1fee0ab9e39455f67b98b28a69fe5ab48f3e14",-1.34367850100034,54.923,0,2021-07-21,"2021-07-21 02:01:27"
"0x97281d9da948509a271d84d11fbcf0377b130515",-2.5,100,97.5,2021-07-21,"2021-07-21 02:01:27"
"0x0add827a4d1ad41c4d4612b4f1df84b9d9654782",-3.44305783104242,45,0,2021-07-21,"2021-07-21 02:01:27"
"0xecb363c3a4902fe7f43861300feb67404fa94be8",-4.47290796135192,150,0,2021-07-21,"2021-07-21 02:01:27"
"0x54b7c46d3908a8dce822bef2255e1912baf236cd",-5.29947173724486,1164.2943823758,418.384778142982,2021-07-21,"2021-07-21 02:01:27"
"0xd04e0e45739c984c23db524163437cfafac41438",-6.25,250,243.75,2021-07-21,"2021-07-21 02:01:27"
"0x22f1041c77cc5964cc83d88d09f623f6895bcf3e",-6.42834042233835,419.33,0,2021-07-21,"2021-07-21 02:01:27"
"0x87cdd83c85283956be7627f269d5d7ffd7e772eb",-6.88399690639505,685,678.116003093605,2021-07-21,"2021-07-21 02:01:27"
"0x86a26f13733800d8f24ad62cf8c9b90ff365b46f",-6.94999999999999,278,271.05,2021-07-21,"2021-07-21 02:01:27"
"0x3c344c8ee6a79913e2a02dd91fb8fb7090377f97",-7.23279655090261,548.122451839665,88.3752776396649,2021-07-21,"2021-07-21 02:01:27"
"0x5f2de76c2355badb51a6338b5f8324b8ea24cceb",-9.6069442596126,48.8978057615664,0,2021-07-21,"2021-07-21 02:01:27"
"0x52bae4a9fc56302dab0af349e6c94406f043176b",-10.4448159715332,500,0,2021-07-21,"2021-07-21 02:01:27"
"0x7a919539f613372973d48be5ba90950507733595",-11.7318850485192,1820.43070402386,1808.69881897534,2021-07-21,"2021-07-21 02:01:27"
"0x14036056681d39c4902b4ec3fd59ddeb3fa25808",-12.5,500,487.5,2021-07-21,"2021-07-21 02:01:27"
"0x4d83fc0f2c4436aa34266d0e389b1f48e4b867e2",-12.6546151461609,573,0,2021-07-21,"2021-07-21 02:01:27"
"0x093599e111a14aaefef98573f26a7aa2cc58ebff",-16.8299415743319,189.546629305096,172.716687730764,2021-07-21,"2021-07-21 02:01:27"
"0xc56e12fd9435bbedd79e03429cfe798271aa4b5e",-19.5560410171344,874.961731722326,205.650011879024,2021-07-21,"2021-07-21 02:01:27"
"0x4bb30b41e9b26bb98f171d2c8a60e94d5ba7ca85",-20.2045006687559,458.848279369713,0,2021-07-21,"2021-07-21 02:01:27"
"0x421e4a2a857f7d7da4fbd96d6268baf8e5256eec",-21.4327295007412,685,0,2021-07-21,"2021-07-21 02:01:27"
"0xe00a7208ea3fdb63f9e8fd0e4bb1473d29c2b85b",-22.4353555733148,500,0,2021-07-21,"2021-07-21 02:01:27"
"0x81683658fe2cdb7eefcc5349cc92888bb8f58a13",-22.6019694308715,155.52099533,132.919025899128,2021-07-21,"2021-07-21 02:01:27"
"0x088892a5e65b03a37e7864f7c17e54f6a0f5a1ee",-23.8330741618527,685,0,2021-07-21,"2021-07-21 02:01:27"
"0x83a9f3bd34fcf7bccf4eb030dc5245f2a4e0fad3",-25.4305934469499,147,0,2021-07-21,"2021-07-21 02:01:27"
"0x8da90e9c112fec6d583a39bb917820a7624151a4",-25.4340958705329,1108.5,0,2021-07-21,"2021-07-21 02:01:27"
"0x1a86f6ca6caedeb6dd8efa9bde15c5b2387f0039",-26.9978454239161,206.162339613667,179.164494189751,2021-07-21,"2021-07-21 02:01:27"
"0x08bccf8a8f6b3f83f559adba64409fa96bd7c4d0",-27.3810282060836,986,0,2021-07-21,"2021-07-21 02:01:27"
"0x69541553eeb8455805a9e95f4ba9b8e701bea828",-27.5802121875047,96.3336479599051,0,2021-07-21,"2021-07-21 02:01:27"
"0x5991a31ab4095cb5470a5bd532e02568393b06d5",-29.25625,1170.25,1140.99375,2021-07-21,"2021-07-21 02:01:27"
"0xea1b6b7e02d25574cba76c4c93a37f593990b8d8",-30.8468579860689,1350,0,2021-07-21,"2021-07-21 02:01:27"
"0xc127994f46ca35d13ab7b96b490f548334672739",-31.0617600959274,425.73293808,0,2021-07-21,"2021-07-21 02:01:27"
"0xc35c275feb6b555afa5679d08d7a46556e46cd9b",-34.072799341895,685,0,2021-07-21,"2021-07-21 02:01:27"
"0xb965d68052b849b29fe25497c51659bf9678bc9b",-38.4417982648923,685,0,2021-07-21,"2021-07-21 02:01:27"
"0xca4fe3b7150f5e0dc77cf920f4d577e31e854552",-40.5090957210656,230,0,2021-07-21,"2021-07-21 02:01:27"
"0xa341c5b993e0dbf832994bbe9306618fe1e53bb1",-41.1405336600678,695,0,2021-07-21,"2021-07-21 02:01:27"
"0xe33575a10a3a37057fbd9793c3f27b94e96b8ba8",-41.8768134515729,400,0,2021-07-21,"2021-07-21 02:01:27"
"0xc8b8c74a2b6303149d9c8a8102562802dbd94e0d",-41.9302152321258,663,0,2021-07-21,"2021-07-21 02:01:27"
"0x3ec44a823e07555b5f889d8d954eec736eb5865b",-42.2675691020907,872.952395960921,187.952395960921,2021-07-21,"2021-07-21 02:01:27"
"0x3e17126c043cf33067afe2da1cab7f876c1219c5",-44.2482451266408,666,0,2021-07-21,"2021-07-21 02:01:27"
"0x8388c635e4cf58a08c0398fa8f5d5a4e7c5b9725",-45.7030046305748,478,0,2021-07-21,"2021-07-21 02:01:27"
"0x629898596dc5f16c31af69382ab7985654332e78",-47.295282013783,685,0,2021-07-21,"2021-07-21 02:01:27"
"0x451248229712d6f207ff9466d8d3a33cb59d103c",-47.3922435378499,685,0,2021-07-21,"2021-07-21 02:01:27"
"0xe1e3e5128ee31646779ccfd71fa0efe77d41e52b",-48.5166731623641,100,0,2021-07-21,"2021-07-21 02:01:27"
"0xb8d362cae4670b4e23c82b005703060597d143f5",-48.9628712215527,3500,3451.03712877845,2021-07-21,"2021-07-21 02:01:27"
"0xf5376e847efa1ea889bfcb03706f414dade0e82c",-49.1089667853615,663,0,2021-07-21,"2021-07-21 02:01:27"
"0xfd3719bef669f5cebbda47b69e7814cf413e9517",-49.5458115862652,500,0,2021-07-21,"2021-07-21 02:01:27"
"0x489df82dd636b9c79273456638a5659dbe838a14",-49.8992560628895,2000,1212.27346772264,2021-07-21,"2021-07-21 02:01:27"
"0x266d6bc2262cc2690ef5c0313e7330995c15eedb",-50.920312440145,200,0,2021-07-21,"2021-07-21 02:01:27"
"0x18787f14cc5a78282770d4225f57a0da14a1340a",-52.5764293580453,500,0,2021-07-21,"2021-07-21 02:01:27"
"0x5619e58e466e054a3e3d42e319586a28d8d8290b",-55.5594591348488,500,0,2021-07-21,"2021-07-21 02:01:27"
"0x5a9e792143bf2708b4765c144451dca54f559a19",-56.7926107621247,685,0,2021-07-21,"2021-07-21 02:01:27"
"0xae2879cc12dea80cb572a6b9ee9c2412e537bbaa",-57.4300432464816,1554.79472721427,1019.07703287427,2021-07-21,"2021-07-21 02:01:27"
"0x0d947d68f583e8b23ff816df9ff3f23a8cfd7496",-61.7996586660386,685,0,2021-07-21,"2021-07-21 02:01:27"
"0x465cec40949115603e61933301ef2b574e40e665",-61.9754100281616,1066.77768811,0,2021-07-21,"2021-07-21 02:01:27"
"0xa0d993c55dcf9c962cb3830fd8157cc9e0ca0c1d",-64.7766524140508,416.101325031112,0,2021-07-21,"2021-07-21 02:01:27"
"0x5a38f4c89a8becaed0d0d03b6e7319f31ebce6c6",-65.4630173542571,696.41986,0,2021-07-21,"2021-07-21 02:01:27"
"0x4cae5bed586f6e73ae54ebd40a4ac4ed2c477c34",-67.0736017380425,4000,3932.92639826196,2021-07-21,"2021-07-21 02:01:27"
"0x64426f4de43d9adf5ab4ce7b7022d4c2a24c11a0",-67.6955843929344,940.033292928887,295.763412040449,2021-07-21,"2021-07-21 02:01:27"
"0xdfa98f97a1b12f1274a663c8d3bef702d6d3816d",-67.9334907625358,600.960989451102,0,2021-07-21,"2021-07-21 02:01:27"
"0x3c220fbbc375d890ada5701c47f8a3f4264fc610",-70.2528980536595,90,0,2021-07-21,"2021-07-21 02:01:27"
"0x7316e79ddfda71f16cd9b80dbf2c3a44ac8e787a",-70.6158490555441,685,0,2021-07-21,"2021-07-21 02:01:27"
"0xa64f266a5e3471dcf51b21426b7872b277a7e20a",-74.9768564668702,285,210.02314353313,2021-07-21,"2021-07-21 02:01:27"
"0xc80fdaccc65dcd6ed030fc416190f1c2ab7b12ac",-80.0019942285772,651,45.1415576264674,2021-07-21,"2021-07-21 02:01:27"
"0x3d6cac9a1c59c253befeb896caf2df1f22a08171",-82.1483320117196,812.509409464351,730.361077452631,2021-07-21,"2021-07-21 02:01:27"
"0x86121466c57705dba9a4753ed55e95ef72e4f6e1",-82.3303854806849,685,0,2021-07-21,"2021-07-21 02:01:27"
"0x7bca4ec02c33fe9c9ecbd7cdf2a43ada8aa99eb0",-85.8346913409035,200,0,2021-07-21,"2021-07-21 02:01:27"
"0xedc6bdea8df98a4e941dfd861b19ac4db8c5238f",-87.8339016572752,400,285.183593733634,2021-07-21,"2021-07-21 02:01:27"
